niveau	ID	Wetenschappelijke naam	Naam	Euring	Species id	Familie	Soortgroep	Soortstatus	Datum	Tijd	invoerdatum	timestamp	type waarneming	Aantal	min	max	Geslacht	telmethode	Kleed	Gedrag	X	Y	lat	Lng	Biotoop	Gebied	Gemeente	Provincie	Zeker	escape	link	precisie	loc_methode	protocol	status	Foto's	Collectienr.	Waardplant	substraat	Methode	Toelichting	Locatie	Tags	Transecten
+	185039337	Otala lactea	Getande melkslak	0	210249	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	16:50	02/02/2020	34:02.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72184"	"27,88154"	"27,8815364837646"	"-15,7218370437622"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039337	25	110	1	O	0		-	-	onbekend	"""1 adult"""			0
+	185039338	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	16:40	02/02/2020	01:30.7	ObsMapp	3	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72190"	"27,88148"	"27,88147736"	"-15,72189999"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039338	25	110	1	O	0		-	Niet van toepassing	onbekend	"""aff. saponacea 1 adult, 2 juv"""			0
+	185039339	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	16:09	02/02/2020	34:02.3	ObsMapp	40	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72196"	"27,88132"	"27,8813209533691"	"-15,7219648361206"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039339	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra 12 adult"""			0
+	185039340	Mollusca indet.	Weekdier onbekend	0	26431	Mollusca indet.	molluscs	Native	02/02/2020	16:02	02/02/2020	59:45.3	ObsMapp	3	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72211"	"27,88145"	"27,88145065"	"-15,72210503"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039340	25	110	1	O	0		-	Niet van toepassing	onbekend	"""Napaeus josei 2 adult, 1 juv"""			0
+	185039341	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	15:55	02/02/2020	25:37.9	ObsMapp	5	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72218"	"27,88153"	"27,88153458"	"-15,72218418"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039341	25	110	1	O	0		-	Niet van toepassing	onbekend	"""persimilis adult"""			0
+	185039342	Xerotricha orbignii		0	546017	Hygromiidae (Loofslakken e.a.)	molluscs	Native	02/02/2020	15:53	02/02/2020	34:02.3	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72219"	"27,88153"	"27,8815288543701"	"-15,7221879959106"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039342	25	110	1	O	0		-	-	onbekend	"""1 juv, 1 adult"""			0
+	185039343	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	02/02/2020	15:43	02/02/2020	34:02.3	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72261"	"27,88164"	"27,8816375732422"	"-15,7226085662842"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039343	25	110	1	O	0		-	-	onbekend	"""2 adult"""			0
+	185039344	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	15:38	02/02/2020	34:02.4	ObsMapp	11	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72262"	"27,88169"	"27,8816928863525"	"-15,7226190567017"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039344	25	110	1	O	1		-	-	onbekend	"""psathyra psathyra 9 adult 2 juv"""			0
+	185039345	Xerotricha orbignii		0	546017	Hygromiidae (Loofslakken e.a.)	molluscs	Native	02/02/2020	15:31	02/02/2020	57:01.0	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72254"	"27,88191"	"27,88191032"	"-15,7225399"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039345	25	110	1	O	0		-	Niet van toepassing	onbekend	"""1 adult, 1 juv"""			0
+	185039347	Mollusca indet.	Weekdier onbekend	0	26431	Mollusca indet.	molluscs	Native	02/02/2020	15:24	02/02/2020	54:34.2	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72253"	"27,88191"	"27,88191414"	"-15,7225256"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039347	25	110	1	O	0		-	Niet van toepassing	onbekend	"""napaeus venegueraensis adult"""			0
+	185039348	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	15:24	02/02/2020	26:19.3	ObsMapp	6	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72253"	"27,88191"	"27,88191414"	"-15,72252655"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039348	25	110	1	O	0		-	Niet van toepassing	onbekend	"""persimilis 5 adult 1 juv"""			0
+	185039349	Xerotricha orbignii		0	546017	Hygromiidae (Loofslakken e.a.)	molluscs	Native	02/02/2020	15:03	02/02/2020	53:47.6	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72262"	"27,88204"	"27,88204002"	"-15,72261715"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039349	25	110	1	O	0		-	Niet van toepassing	onbekend	juv			0
+	185039350	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	02/02/2020	15:02	02/02/2020	25:14.6	ObsMapp	5	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72263"	"27,88208"	"27,88208199"	"-15,72263145"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039350	25	110	1	O	0		-	Niet van toepassing	onbekend	"""monilearia persimilis adult"""			0
+	185039351	Mollusca indet.	Weekdier onbekend	0	26431	Mollusca indet.	molluscs	Native	02/02/2020	14:59	02/02/2020	34:02.5	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72266"	"27,88210"	"27,8820972442627"	"-15,7226572036743"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039351	25	110	1	O	0		-	-	onbekend	"""napaeus venegueraensis, 1 adult"""			0
+	185039352	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	02/02/2020	14:56	02/02/2020	34:02.7	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72264"	"27,88210"	"27,88210105896"	"-15,722638130188"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039352	25	110	1	O	1		-	-	onbekend	"""1 adult"""			0
+	185039353	Rumina decollata		0	210250	Subulinidae	molluscs	Native	02/02/2020	14:44	02/02/2020	48:04.3	ObsMapp	3	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72274"	"27,88516"	"27,88516045"	"-15,72273827"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185039353	25	110	1	O	1		-	Niet van toepassing	onbekend	adult			0
+	185057180	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	11:01	03/02/2020	29:39.7	ObsMapp	1	0	0	onbekend	onbekend	onbekend	levend dier	"-15,72960"	"27,88909"	"27,88909149"	"-15,72960281"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057180	25	110	1	O	0		-	Niet van toepassing	onbekend	"""persimilis """			0
+	185057182	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	10:28	03/02/2020	34:02.0	ObsMapp	50	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72952"	"27,88936"	"27,8893642425537"	"-15,7295227050781"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057182	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra"""			0
+	185057183	Mollusca indet.	Weekdier onbekend	0	26431	Mollusca indet.	molluscs	Native	03/02/2020	10:27	03/02/2020	31:32.1	ObsMapp	15	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72954"	"27,88935"	"27,88934517"	"-15,72954178"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057183	25	110	1	O	0		-	Niet van toepassing	onbekend	"""Napaeus josei"""			0
+	185057184	Xerotricha orbignii		0	546017	Hygromiidae (Loofslakken e.a.)	molluscs	Native	03/02/2020	10:20	03/02/2020	34:02.0	ObsMapp	40	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72961"	"27,88936"	"27,8893642425537"	"-15,7296104431152"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057184	25	110	1	O	0		-	-	onbekend				0
+	185057185	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	10:20	03/02/2020	34:02.0	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72961"	"27,88936"	"27,8893642425537"	"-15,7296104431152"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057185	25	110	1	O	0		-	-	onbekend	"""aff. saponacea"""			0
+	185057186	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	10:10	03/02/2020	29:11.0	ObsMapp	4	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72932"	"27,88956"	"27,88955688"	"-15,72931767"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057186	25	110	1	O	0		-	Niet van toepassing	onbekend	"""persimilis """			0
+	185057187	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	03/02/2020	10:10	03/02/2020	34:02.1	ObsMapp	3	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72928"	"27,88958"	"27,8895816802979"	"-15,7292776107788"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057187	25	110	1	O	0		-	-	onbekend				0
+	185057188	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	03/02/2020	09:50	03/02/2020	34:02.1	ObsMapp	10	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72851"	"27,88868"	"27,8886775970459"	"-15,7285137176514"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057188	25	110	1	O	0		-	-	onbekend				0
+	185057189	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	09:43	03/02/2020	28:38.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72824"	"27,88805"	"27,88805008"	"-15,72824383"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057189	25	110	1	O	0		-	Niet van toepassing	onbekend	"""persimilis """			0
+	185057190	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	09:42	03/02/2020	34:02.1	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72827"	"27,88807"	"27,8880653381348"	"-15,7282676696777"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057190	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra"""			0
+	185057191	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	09:03	03/02/2020	34:02.1	ObsMapp	10	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72690"	"27,88627"	"27,8862724304199"	"-15,7268962860107"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057191	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra"""			0
+	185057192	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	03/02/2020	09:03	03/02/2020	34:02.1	ObsMapp	10	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72690"	"27,88627"	"27,8862705230713"	"-15,7268953323364"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057192	25	110	1	O	0		-	-	onbekend				0
+	185057193	Otala lactea	Getande melkslak	0	210249	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	08:59	03/02/2020	34:02.2	ObsMapp	3	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72681"	"27,88602"	"27,8860206604004"	"-15,7268142700195"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057193	25	110	1	O	0		-	-	onbekend				0
+	185057194	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	08:57	03/02/2020	28:04.7	ObsMapp	4	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72673"	"27,88597"	"27,88597488"	"-15,72673035"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057194	25	110	1	O	0		-	Niet van toepassing	onbekend	"""persimilis """			0
+	185057195	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	08:55	03/02/2020	34:02.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72671"	"27,88598"	"27,8859806060791"	"-15,7267074584961"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057195	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra"""			0
+	185057196	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	03/02/2020	08:45	03/02/2020	34:02.2	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72548"	"27,88528"	"27,8852825164795"	"-15,7254838943481"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057196	25	110	1	O	0		-	-	onbekend				0
+	185057197	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	08:44	03/02/2020	34:02.5	ObsMapp	9	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72516"	"27,88528"	"27,8852806091309"	"-15,7251644134521"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057197	25	110	1	O	1		-	-	onbekend	"""psathyra psathyra"""			0
+	185057198	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	08:40	03/02/2020	26:49.9	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72476"	"27,88411"	"27,88410759"	"-15,72475719"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057198	25	110	1	O	0		-	Niet van toepassing	onbekend	"""persimilis """			0
+	185057199	Ferussacia folliculum		0	911636	Ferussaciidae (Blindslakjes)	molluscs	Native	03/02/2020	08:40	03/02/2020	34:02.5	ObsMapp	2	0	0	onbekend	exact aantal	onbekend	ter plaatse	"-15,72476"	"27,88411"	"27,8841075897217"	"-15,7247562408447"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057199	25	110	1	O	0		-	-	onbekend				0
+	185057200	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	03/02/2020	08:39	03/02/2020	34:02.5	ObsMapp	10	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72476"	"27,88411"	"27,8841075897217"	"-15,7247552871704"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057200	25	110	1	O	0		-	-	onbekend				0
+	185057201	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	03/02/2020	08:39	03/02/2020	34:02.5	ObsMapp	50	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72476"	"27,88411"	"27,8841075897217"	"-15,7247552871704"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185057201	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra"""			0
+	185134404	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	04/02/2020	17:36	04/02/2020	34:03.4	ObsMapp	2	0	0	onbekend	exact aantal	onbekend	ter plaatse	"-15,72981"	"27,89236"	"27,8923606872559"	"-15,7298069000244"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134404	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra niet in coll"""			0
+	185134405	Otala lactea	Getande melkslak	0	210249	Helicidae (Tuinslakken e.a.)	molluscs	Native	04/02/2020	17:29	04/02/2020	34:03.5	ObsMapp	1	0	0	onbekend	exact aantal	onbekend	ter plaatse	"-15,73041"	"27,89393"	"27,8939304351807"	"-15,730411529541"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134405	25	110	1	O	0		-	-	onbekend	"""adult niet in coll"""			0
+	185134406	Mollusca indet.	Weekdier onbekend	0	26431	Mollusca indet.	molluscs	Native	04/02/2020	17:25	04/02/2020	34:03.6	ObsMapp	3	0	0	onbekend	exact aantal	onbekend	ter plaatse	"-15,72968"	"27,89382"	"27,89381980896"	"-15,7296781539917"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134406	25	110	1	O	0		-	-	onbekend	"""Napaeus josei adult in coll"""			0
+	185134407	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	04/02/2020	17:17	04/02/2020	34:03.6	ObsMapp	5	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72817"	"27,89412"	"27,8941230773926"	"-15,7281703948975"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134407	25	110	1	O	0		-	-	onbekend	"""persimilis niet in coll"""			0
+	185134408	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	04/02/2020	17:13	04/02/2020	34:03.6	ObsMapp	3	0	0	onbekend	exact aantal	onbekend	ter plaatse	"-15,72826"	"27,89482"	"27,8948211669922"	"-15,7282571792603"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134408	25	110	1	O	0		-	-	onbekend	"""niet in coll"""			0
+	185134409	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	04/02/2020	17:12	04/02/2020	34:03.6	ObsMapp	15	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72826"	"27,89481"	"27,8948097229004"	"-15,7282562255859"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134409	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra niet in coll"""			0
+	185134410	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	04/02/2020	17:03	04/02/2020	34:03.6	ObsMapp	10	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72969"	"27,89795"	"27,8979549407959"	"-15,7296943664551"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134410	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra niet in coll"""			0
+	185134411	Monilearia spec.		0	685911	Helicidae (Tuinslakken e.a.)	molluscs	Native	04/02/2020	17:03	04/02/2020	34:03.6	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72970"	"27,89796"	"27,8979606628418"	"-15,7297039031982"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134411	25	110	1	O	0		-	-	onbekend	"""persimilis niet in coll"""			0
+	185134412	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	04/02/2020	17:02	04/02/2020	34:03.7	ObsMapp	10	0	0	onbekend	schatting	onbekend	ter plaatse	"-15,72971"	"27,89796"	"27,8979606628418"	"-15,7297067642212"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134412	25	110	1	O	0		-	-	onbekend	"""niet in coll"""			0
+	185134413	Hemicycla spec.		0	689642	Helicidae (Tuinslakken e.a.)	molluscs	Native	04/02/2020	16:57	04/02/2020	34:03.7	ObsMapp	1	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72935"	"27,90045"	"27,900447845459"	"-15,7293500900269"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134413	25	110	1	O	0		-	-	onbekend	"""psathyra psathyra adult niet in coll"""			0
+	185134414	Caracollina lenticula		0	721479	Trissexodontidae	molluscs	Native	04/02/2020	16:57	04/02/2020	34:03.7	ObsMapp	2	0	0	onbekend	onbekend	onbekend	ter plaatse	"-15,72935"	"27,90045"	"27,9004535675049"	"-15,7293548583984"	 onbekend	Spain - Gran Canaria - Mogán	Spain - Las Palmas	Spain	Y	N	https://observation.org/waarneming/view/185134414	25	110	1	O	0		-	-	onbekend	"""adult niet in coll"""			0
